Team ID,Task 1 EER (%),Task 1 minDCF,Task 2 EER (%),Task 2 minDCF,Deeper Analysis,Paper Link
T01,1.39,0.097,1.95,0.058,,
T02,2.21,0.18,2.99,0.205,,
T03,2.43,0.175,2.84,0.189,,
T04,2.46,0.206,4.45,0.288,,
T05,2.52,0.189,3.43,0.224,,
T06,2.53,0.19,3.4,0.196,,
T07,2.61,0.195,3.39,0.22,,
T08,2.74,0.253,2.86,0.281,,
T09,3.56,0.272,5.57,0.367,,
T10,3.64,0.236,9.16,0.359,,
T11,3.7,0.278,6.41,0.329,,
T12,3.92,0.296,5.59,0.391,,
T13,4.29,0.285,5.82,0.332,,
T14,4.34,0.29,6.13,0.347,,
T15,4.39,0.299,5.13,0.36,,
T16,4.75,0.306,6.3,0.39,,
T17,4.81,0.35,7.01,0.422,,
T18,5.07,0.363,9.89,0.44,,
T19,5.1,0.335,7.74,0.567,,
T20,5.49,0.434,7.24,0.421,,
T21,5.5,0.349,7.24,0.448,,
T22,5.94,0.384,8.84,0.545,,
T23,6.12,0.41,9.47,0.624,,
T24,6.64,0.502,6.3,0.445,,
T25,6.68,0.498,6.03,0.423,,
T26,7.02,0.524,9.84,0.525,,
T27,8.35,0.402,9.79,0.566,,
T28,8.4,0.649,12.15,0.63,,
T29,8.96,0.544,10.62,0.525,,
T30,9.06,0.658,11.6,0.607,,
Baseline,9.06,0.658,11.6,0.607,,
T31,9.18,0.573,10.71,0.539,,
T32,9.27,0.512,11.28,0.508,,
T33,10.47,0.508,11.06,0.729,,
T34,10.54,0.728,11.18,0.71,,
T35,12.43,0.702,13.68,0.765,,
T36,13.99,0.86,15.22,0.865,,
T37,15.03,0.731,18.41,0.717,,
T38,15.05,0.7,19.24,0.804,,
T39,15.51,0.674,17.93,0.739,,
T40,20.15,0.993,20.91,0.97,,
T41,21.25,0.999,22.36,0.996,,
T42,21.44,0.987,23.03,0.974,,
